name,date,hour,atmosphericpressure,precipitation,relativehumidity,temperature,winddirection,windspeedavg,windspeedmax,windspeedmin,surfacetemperaturewintersense,temperaturewintersense,z_score
Marktstätte,2024-05-17,11,962.35,43.68,79.85,12.6,272.0,2.3,5.3,0.2,16.03,13.3,1.4477465345672789
Marktstätte,2024-05-17,12,962.5,43.68,76.54,13.15,254.5,2.1,4.15,0.4,15.87,13.82,1.121724702948391
Marktstätte,2024-05-17,13,962.9,43.68,71.7,13.9,240.0,2.3,5.6,0.1,17.45,14.83,0.7567179844361833
Marktstätte,2024-05-17,14,962.85,43.68,62.9,15.75,237.0,2.15,4.7,0.15,22.44,17.68,1.169405050828103
Marktstätte,2024-05-17,15,962.8,43.68,55.95,16.6,236.0,2.1,4.4,0.25,23.33,18.2,1.4141610898367711
Marktstätte,2024-05-17,16,962.7,43.68,55.0,17.3,254.0,1.8,3.9,0.1,24.07,19.06,1.4471361022898706
Marktstätte,2024-05-17,17,962.85,43.68,54.35,17.35,235.0,1.4,3.35,0.1,22.85,18.38,1.5459062912338288
Marktstätte,2024-05-17,18,963.05,43.68,55.6,17.3,231.0,1.5,2.7,0.1,21.6,18.03,2.050118307470783
Marktstätte,2024-05-17,19,963.3,43.68,55.2,16.7,234.0,1.3,2.5,0.1,19.85,16.93,1.8774158028303343
Marktstätte,2024-05-17,20,964.1,43.68,58.2,15.65,267.0,0.9,1.8,0.15,17.21,15.4,1.5493259618064699
Marktstätte,2024-05-17,21,964.3,43.68,62.9,15.1,280.0,1.1,2.6,0.2,16.53,14.75,1.6866559004168074
Marktstätte,2024-05-17,22,964.95,43.68,63.3,14.15,270.5,0.9,1.85,0.1,14.18,13.53,1.488528476002979
Marktstätte,2024-05-17,23,965.35,43.68,66.6,13.35,236.0,0.85,1.25,0.25,13.42,12.59,1.6381342925414766
Marktstätte,2024-05-18,0,965.4,43.68,70.0,12.5,258.0,0.5,1.0,0.05,12.38,11.63,1.538568661640282
Marktstätte,2024-05-18,1,965.5,43.68,70.8,12.3,260.5,0.25,0.95,0.0,11.89,11.27,1.6865889729241528
Marktstätte,2024-05-18,2,965.5,43.68,72.1,12.2,246.0,0.7,1.0,0.1,12.05,11.38,1.751001145651184
Marktstätte,2024-05-18,3,965.4,43.68,80.74,11.35,236.5,0.75,1.35,0.15,11.36,10.74,1.5023431412356227
Marktstätte,2024-05-18,4,965.55,43.68,84.4,10.6,151.5,0.5,0.95,0.1,10.68,9.87,1.7215383066811192
Marktstätte,2024-05-18,5,965.75,43.68,87.85,10.0,92.5,0.4,0.8,0.1,10.26,9.25,1.5927892946384885
Marktstätte,2024-05-18,6,965.95,43.68,87.39,9.75,143.5,0.4,0.9,0.1,10.09,9.03,1.3561226183603512
Marktstätte,2024-05-18,7,966.4,43.68,85.0,10.7,84.0,0.4,0.8,0.0,10.49,10.12,-0.30894976262300866
Marktstätte,2024-05-18,8,966.7,43.68,78.89,12.25,159.5,0.5,1.25,0.1,15.41,17.07,0.039800537185349316
Marktstätte,2024-05-18,9,966.7,43.68,76.0,13.4,51.0,0.9,2.1,0.2,20.73,18.82,-0.2031079930629078
Marktstätte,2024-05-18,10,966.4,43.68,74.6,14.0,53.5,1.05,2.5,0.2,26.15,19.6,-0.4735413581044724
Marktstätte,2024-05-18,11,966.2,43.68,72.19,15.05,54.5,1.3,2.5,0.2,31.25,20.63,-0.43387100343195095
Marktstätte,2024-05-18,12,965.8,43.68,69.0,16.05,54.0,1.3,2.45,0.1,34.88,21.81,-0.4601736218548588
Marktstätte,2024-05-18,13,965.3,43.68,62.1,17.3,55.0,1.0,2.4,0.1,35.51,22.77,-0.4500019225692392
Marktstätte,2024-05-18,14,964.8,43.68,53.6,18.9,55.0,1.2,2.7,0.3,36.51,23.7,-0.29892823011537867
Marktstätte,2024-05-18,15,964.25,43.68,56.4,19.05,37.0,0.9,2.0,0.1,36.21,23.27,-0.4218933937883096
Marktstätte,2024-05-18,16,963.9,43.68,56.5,18.8,56.0,0.7,1.9,0.1,33.55,21.6,-0.4525317304532683
Marktstätte,2024-05-18,17,963.4,43.68,58.5,18.5,27.0,0.85,1.65,0.15,28.5,19.63,-0.48374942918344555
Marktstätte,2024-05-18,18,963.3,43.68,43.9,20.5,234.0,1.1,2.7,0.1,26.45,21.09,1.3552775696341637
Marktstätte,2024-05-18,19,963.7,43.68,46.5,19.8,231.0,0.8,1.7,0.1,24.03,20.0,1.4828289983395664
Marktstätte,2024-05-18,20,964.65,43.76,51.25,18.65,236.5,1.4,2.65,0.1,22.66,18.68,1.9720855303237002
Marktstätte,2024-05-18,21,966.7,45.73,80.89,14.1,256.0,0.8,2.7,0.1,18.13,14.2,-0.5574420409343173
Marktstätte,2024-05-18,22,967.05,46.14,79.19,13.65,155.5,0.95,1.95,0.15,17.28,13.19,1.6144163549240687
Marktstätte,2024-05-18,23,967.05,46.28,84.94,13.2,77.0,0.6,1.3,0.1,16.34,12.96,1.4473861525500875
Marktstätte,2024-05-19,0,967.0,46.28,84.84,13.25,97.5,0.55,0.95,0.1,15.69,12.96,1.3613172713867274
Marktstätte,2024-05-19,1,966.75,46.28,89.35,12.95,64.0,0.35,0.75,0.0,14.61,12.57,1.2573139319013693
Marktstätte,2024-05-19,2,966.5,46.28,90.9,12.4,223.0,0.5,0.95,0.1,13.38,11.82,1.5004766386099773
Marktstätte,2024-05-19,3,966.2,46.28,90.94,11.7,234.5,0.65,1.15,0.15,12.8,11.06,1.425237831549717
Marktstätte,2024-05-19,4,966.0,46.28,92.4,11.05,77.0,0.35,0.7,0.05,12.21,10.38,1.416538899535123
Marktstätte,2024-05-19,5,966.1,46.28,92.59,11.1,181.0,0.35,0.9,0.1,13.55,10.7,1.206216336782749
Marktstätte,2024-05-19,6,966.4,46.28,91.6,11.0,233.0,1.1,1.6,0.3,13.83,10.87,1.2744955257967279
Marktstätte,2024-05-19,7,966.75,46.28,92.24,11.55,228.0,0.9,1.65,0.15,14.52,11.73,1.6701288596785377
Marktstätte,2024-05-19,8,966.9,46.28,90.5,11.9,249.0,0.7,1.1,0.0,15.93,13.05,0.09622504486493216
Marktstätte,2024-05-19,9,967.05,46.28,80.84,14.2,122.0,0.95,2.05,0.1,22.43,19.75,0.5284981975632304
Marktstätte,2024-05-19,10,967.05,46.28,79.8,14.45,72.5,1.0,2.1,0.15,25.99,18.56,-0.2501020989435017
Marktstätte,2024-05-19,11,966.65,46.28,77.39,15.45,86.5,0.95,2.15,0.05,29.42,19.92,-0.10624019134421955
Marktstätte,2024-05-19,12,966.35,46.28,73.84,16.1,46.5,0.75,1.75,0.1,30.38,19.94,-0.5167744874064351
Marktstätte,2024-05-19,13,965.85,46.28,51.1,19.4,218.0,0.9,2.25,0.1,32.37,23.54,0.791322291514485
Marktstätte,2024-05-19,14,965.25,46.28,43.8,20.9,212.5,1.0,2.55,0.1,37.48,26.8,1.2316161936978507
Marktstätte,2024-05-19,15,964.85,46.28,39.6,21.55,214.5,1.05,3.15,0.1,37.67,25.64,0.7990813620958299
Marktstätte,2024-05-19,16,964.2,46.28,38.95,22.35,142.5,1.0,2.45,0.1,35.32,25.09,1.0082204875403304
Marktstätte,2024-05-19,17,964.2,46.28,50.4,20.4,62.0,0.9,2.0,0.1,32.91,22.66,0.15124118789145066
Marktstätte,2024-05-19,18,963.9,46.28,43.15,20.65,169.5,0.7,2.0,0.1,27.56,20.87,0.5204043319314399
Marktstätte,2024-05-19,19,963.85,46.28,43.9,20.75,277.0,0.6,1.65,0.1,24.33,20.38,0.5267691554222942
Marktstätte,2024-05-19,20,964.1,46.28,50.6,19.8,259.0,0.6,1.0,0.0,21.49,19.05,0.8081960302252836
Marktstätte,2024-05-19,21,964.4,46.28,72.85,16.45,63.5,0.65,1.4,0.1,19.68,16.32,0.0
Marktstätte,2024-05-19,22,964.8,46.28,76.5,15.9,98.0,0.4,0.8,0.1,18.35,15.45,0.7431681173023436
Marktstätte,2024-05-19,23,965.0,46.28,80.79,15.5,88.0,0.4,0.9,0.1,17.23,14.65,1.430360463118064
Marktstätte,2024-05-20,0,965.0,46.28,77.75,14.75,238.5,0.55,1.15,0.15,16.19,14.0,1.6552544681886106
Marktstätte,2024-05-20,1,965.0,46.28,85.85,13.5,74.5,0.35,0.6,0.05,15.32,12.81,1.2246289108897896
Marktstätte,2024-05-20,2,964.9,46.28,83.34,13.4,232.0,0.6,0.95,0.15,14.69,12.5,1.694604426702018
Marktstätte,2024-05-20,3,964.9,46.28,84.9,12.65,164.0,0.5,1.1,0.15,14.33,11.99,1.6348980492624257
Marktstätte,2024-05-20,4,964.75,46.28,85.8,12.25,234.5,0.6,1.1,0.35,14.13,11.65,1.4579159457836635
