Jahr,Extremniederschlagstage_Anzahl,Frosttage_Anzahl,Heisse_Tage_Anzahl,Hitzewellentage_Anzahl,Tropennaechte_Anzahl,Modell,Statistik
2057,10.766666666666667,48.2,8.366666666666667,1.8,13.866666666666667,Szenario RCP 4.5,Durchschnitt
2058,10.933333333333334,48.266666666666666,7.966666666666667,1.8,13.333333333333334,Szenario RCP 4.5,Durchschnitt
2059,10.833333333333334,48.666666666666664,8.2,1.9,13.366666666666667,Szenario RCP 4.5,Durchschnitt
2060,11.066666666666666,47.56666666666667,8.633333333333333,2.0,13.7,Szenario RCP 4.5,Durchschnitt
2061,10.833333333333334,47.333333333333336,8.9,2.1,14.033333333333333,Szenario RCP 4.5,Durchschnitt
2062,10.966666666666667,46.8,9.1,2.2666666666666666,14.2,Szenario RCP 4.5,Durchschnitt
2063,10.8,45.5,9.0,2.2666666666666666,14.133333333333333,Szenario RCP 4.5,Durchschnitt
2064,10.633333333333333,45.166666666666664,8.7,2.1666666666666665,14.133333333333333,Szenario RCP 4.5,Durchschnitt
2065,10.566666666666666,44.766666666666666,8.733333333333333,2.2666666666666666,14.1,Szenario RCP 4.5,Durchschnitt
2066,10.666666666666666,44.8,8.566666666666666,2.2666666666666666,14.033333333333333,Szenario RCP 4.5,Durchschnitt
2067,10.8,45.13333333333333,8.6,2.2666666666666666,13.9,Szenario RCP 4.5,Durchschnitt
2068,10.566666666666666,45.43333333333333,8.466666666666667,2.2666666666666666,13.733333333333333,Szenario RCP 4.5,Durchschnitt
2069,10.533333333333333,46.2,8.566666666666666,2.2666666666666666,13.966666666666667,Szenario RCP 4.5,Durchschnitt
2070,10.4,46.7,8.833333333333334,2.2666666666666666,14.433333333333334,Szenario RCP 4.5,Durchschnitt
2071,10.2,47.233333333333334,8.766666666666667,2.2666666666666666,14.433333333333334,Szenario RCP 4.5,Durchschnitt
2072,9.9,47.43333333333333,9.666666666666666,2.433333333333333,15.5,Szenario RCP 4.5,Durchschnitt
2073,9.933333333333334,47.3,9.2,2.3333333333333335,15.033333333333333,Szenario RCP 4.5,Durchschnitt
2074,9.7,47.6,9.333333333333334,2.2333333333333334,15.166666666666666,Szenario RCP 4.5,Durchschnitt
2075,9.8,45.63333333333333,9.533333333333333,2.2333333333333334,15.4,Szenario RCP 4.5,Durchschnitt
2076,9.866666666666667,46.1,9.866666666666667,2.533333333333333,15.5,Szenario RCP 4.5,Durchschnitt
2077,9.866666666666667,45.96666666666667,10.433333333333334,2.7666666666666666,16.133333333333333,Szenario RCP 4.5,Durchschnitt
2078,9.966666666666667,45.766666666666666,9.933333333333334,2.3,15.3,Szenario RCP 4.5,Durchschnitt
2079,10.1,46.13333333333333,9.0,1.7666666666666666,14.5,Szenario RCP 4.5,Durchschnitt
2080,9.933333333333334,46.6,9.266666666666667,1.7666666666666666,14.533333333333333,Szenario RCP 4.5,Durchschnitt
2081,9.766666666666667,46.96666666666667,9.266666666666667,1.8666666666666667,14.266666666666667,Szenario RCP 4.5,Durchschnitt
2082,9.666666666666666,45.93333333333333,9.9,2.2666666666666666,14.933333333333334,Szenario RCP 4.5,Durchschnitt
2083,9.5,46.03333333333333,10.333333333333334,2.433333333333333,15.366666666666667,Szenario RCP 4.5,Durchschnitt
2084,9.2,45.9,10.266666666666667,2.433333333333333,15.3,Szenario RCP 4.5,Durchschnitt
2085,9.2,45.36666666666667,10.733333333333333,2.9,15.5,Szenario RCP 4.5,Durchschnitt
2086,9.233333333333333,43.46666666666667,10.666666666666666,2.8,15.766666666666667,Szenario RCP 4.5,Durchschnitt
1965,7.666666666666667,77.43333333333334,1.6,0.3,3.2666666666666666,Szenario RCP 8.5,Durchschnitt
1966,7.7,75.96666666666667,1.4333333333333333,0.3,3.1,Szenario RCP 8.5,Durchschnitt
1967,8.0,74.2,1.4333333333333333,0.3,3.033333333333333,Szenario RCP 8.5,Durchschnitt
1968,7.966666666666667,74.4,1.3333333333333333,0.3,2.9,Szenario RCP 8.5,Durchschnitt
1969,7.966666666666667,73.33333333333333,1.3333333333333333,0.3,2.9,Szenario RCP 8.5,Durchschnitt
1970,8.033333333333333,74.06666666666666,1.3333333333333333,0.3,2.9,Szenario RCP 8.5,Durchschnitt
1971,8.0,73.36666666666666,1.0333333333333334,0.1,2.6,Szenario RCP 8.5,Durchschnitt
1972,7.933333333333334,73.1,1.2,0.1,2.9,Szenario RCP 8.5,Durchschnitt
1973,7.9,72.7,1.2666666666666666,0.1,3.033333333333333,Szenario RCP 8.5,Durchschnitt
1974,8.033333333333333,71.83333333333333,1.2666666666666666,0.1,3.2333333333333334,Szenario RCP 8.5,Durchschnitt
1975,8.1,72.0,1.2333333333333334,0.1,3.2,Szenario RCP 8.5,Durchschnitt
1976,8.0,71.0,1.2666666666666666,0.1,3.2666666666666666,Szenario RCP 8.5,Durchschnitt
1977,8.0,70.06666666666666,1.3333333333333333,0.1,3.4,Szenario RCP 8.5,Durchschnitt
1978,8.133333333333333,69.86666666666666,1.3333333333333333,0.1,3.4,Szenario RCP 8.5,Durchschnitt
1979,8.3,69.8,1.2333333333333334,0.0,3.2,Szenario RCP 8.5,Durchschnitt
1980,8.3,70.3,1.2333333333333334,0.0,3.1666666666666665,Szenario RCP 8.5,Durchschnitt
1981,8.233333333333333,69.4,1.3,0.0,3.3666666666666667,Szenario RCP 8.5,Durchschnitt
1982,8.233333333333333,68.9,1.3,0.0,3.533333333333333,Szenario RCP 8.5,Durchschnitt
