,hour,name,temperature,mean_temperature,temperature_deviation
63,5,Riedstrasse,13.599038461538461,14.372770979020979,-0.773732517482518
64,5,Stadtgarten,14.311858974358975,14.372770979020979,-0.06091200466200419
65,5,Stephansplatz,14.811538461538461,14.372770979020979,0.4387674825174823
66,6,Bodanplatz,14.729166666666666,14.274737762237763,0.4544289044289034
67,6,Döbele,13.963141025641026,14.274737762237763,-0.31159673659673714
68,6,Friedrichstrasse,14.019551282051284,14.274737762237763,-0.25518648018647916
69,6,Fähre Staad,14.646794871794873,14.274737762237763,0.3720571095571099
70,6,Herose-Park,14.113782051282051,14.274737762237763,-0.1609557109557116
71,6,Hörnle,14.070512820512821,14.274737762237763,-0.20422494172494154
72,6,Mainaustrasse,14.174038461538462,14.274737762237763,-0.10069930069930066
73,6,Marktstätte,14.888141025641026,14.274737762237763,0.6134032634032636
74,6,Riedstrasse,13.523076923076923,14.274737762237763,-0.7516608391608397
75,6,Stadtgarten,14.239102564102565,14.274737762237763,-0.03563519813519811
76,6,Stephansplatz,14.654807692307694,14.274737762237763,0.38006993006993106
77,7,Bodanplatz,15.07948717948718,14.8307837995338,0.24870337995337977
78,7,Döbele,14.457051282051284,14.8307837995338,-0.3737325174825159
79,7,Friedrichstrasse,14.657051282051283,14.8307837995338,-0.1737325174825166
80,7,Fähre Staad,15.114423076923076,14.8307837995338,0.28363927738927686
81,7,Herose-Park,14.525961538461539,14.8307837995338,-0.3048222610722604
82,7,Hörnle,14.877884615384614,14.8307837995338,0.047100815850814826
83,7,Mainaustrasse,14.82275641025641,14.8307837995338,-0.008027389277389219
84,7,Marktstätte,15.183173076923076,14.8307837995338,0.3523892773892765
85,7,Riedstrasse,14.579166666666666,14.8307837995338,-0.2516171328671337
86,7,Stadtgarten,14.900961538461539,14.8307837995338,0.0701777389277396
87,7,Stephansplatz,14.940705128205128,14.8307837995338,0.10992132867132831
88,8,Bodanplatz,15.965705128205128,15.714896561771562,0.25080856643356597
89,8,Döbele,15.41955128205128,15.714896561771562,-0.2953452797202818
90,8,Friedrichstrasse,15.815064102564103,15.714896561771562,0.10016754079254042
91,8,Fähre Staad,15.753846153846153,15.714896561771562,0.03894959207459081
92,8,Herose-Park,15.191346153846153,15.714896561771562,-0.5235504079254092
93,8,Hörnle,15.738141025641026,15.714896561771562,0.023244463869463772
94,8,Mainaustrasse,15.814102564102564,15.714896561771562,0.09920600233100174
95,8,Marktstätte,16.032692307692308,15.714896561771562,0.3177957459207459
96,8,Riedstrasse,15.971875,15.714896561771562,0.2569784382284386
97,8,Stadtgarten,15.573076923076924,15.714896561771562,-0.14181963869463843
98,8,Stephansplatz,15.588461538461539,15.714896561771562,-0.1264350233100231
99,9,Bodanplatz,16.866666666666667,16.613738344988345,0.252928321678322
100,9,Döbele,16.55128205128205,16.613738344988345,-0.06245629370629402
101,9,Friedrichstrasse,16.87596153846154,16.613738344988345,0.26222319347319356
102,9,Fähre Staad,16.475641025641025,16.613738344988345,-0.13809731934732028
